date;weights
06/09/2018;2.9236E-05
06/09/2018;0.000127013
06/09/2018;0.001921859
06/09/2018;0.001205916
06/09/2018;0.002796238
06/09/2018;0.001691386
06/09/2018;0.00011624
06/09/2018;0.001514874
06/09/2018;0.002606134
06/09/2018;0.004410446
06/09/2018;0.03408178
06/09/2018;0.0271855
06/09/2018;0.01576285
06/09/2018;0.001756034
06/09/2018;0.008938695
06/09/2018;0.07190672
06/09/2018;0.01411463
06/09/2018;0.019774893
06/09/2018;0.007646101
06/09/2018;0.023497038
06/09/2018;0.011153651
06/09/2018;0.006594697
06/09/2018;0.002281293
06/09/2018;0.002035862
06/09/2018;0.001617847
06/09/2018;0.000651071
06/09/2018;4.816E-05
06/09/2018;0.000798398
06/09/2018;0.001151924
06/09/2018;0.000307567
06/09/2018;0.000191457
06/09/2018;1.69296E-05
06/09/2018;0.000883041
07/09/2018;0.000212711
07/09/2018;0.000664779
07/09/2018;0.000868596
07/09/2018;0.000574957
07/09/2018;0.003308412
07/09/2018;0.000233804
07/09/2018;0.000435719
07/09/2018;0.001231261
07/09/2018;0.000133786
07/09/2018;0.000847103
07/09/2018;0.000226472
07/09/2018;0.001882266
07/09/2018;0.000551477
07/09/2018;0.000293871
07/09/2018;0.003183716
07/09/2018;4.95394E-05
07/09/2018;0.000429276
07/09/2018;0.001444457
07/09/2018;0.0024422
07/09/2018;0.005309284
07/09/2018;0.002188853
07/09/2018;3.13285E-05
07/09/2018;2.46006E-05
07/09/2018;6.47063E-05
07/09/2018;0.00021405
07/09/2018;0.000189341
07/09/2018;0.000555745
07/09/2018;0.001143927
07/09/2018;0.000931372
07/09/2018;0.000757149
07/09/2018;0.000100257
07/09/2018;0.000152679
07/09/2018;0.000618682
07/09/2018;0.000619916
07/09/2018;0.000864493
07/09/2018;0.000347029
07/09/2018;0.000541249
07/09/2018;0.000307763
07/09/2018;0.000866434
07/09/2018;0.000218008
07/09/2018;0.000115889
07/09/2018;0.000276961
07/09/2018;7.60964E-05
