ETH,LTC,XRP,reversed_USDT,ETC,DASH,XMR,XEM,FCT,GNT,ZEC
0.25020796,0.0421427,0.24937421,0.2426922,0.14168862,0.14798737,0.25711164,0.14066215,0.10713879,0.25527725,0.16571334
0.33781597,0.03328412,0.10094862,0.25641322,0.15298405,0.12737174,0.2102546,0.21761341,0.11454916,0.19749407,0.2512677
0.39641717,0.01530862,0.04462735,0.2774287,0.19159172,0.20746373,0.22321549,0.23798542,0.06611819,0.17682067,0.16301915
0.33800417,0.05118462,0.05986646,0.291628,0.1643497,0.27347362,0.20110294,0.12658606,0.13193281,0.23482811,0.12703983
0.2615611,0.07757197,0.02586903,0.26753005,0.19254403,0.35327506,0.22765777,0.12928371,0.12933649,0.18351735,0.1518496
0.17514403,0.23030153,0.04930431,0.28768837,0.17419718,0.21195498,0.20932588,0.15874514,0.14010546,0.20156108,0.16166814
0.14189775,0.26341942,0.01521318,0.3175906,0.13441736,0.15172735,0.2043577,0.15482913,0.14081714,0.25455052,0.22117586
0.05269964,0.5668404,0.01509081,0.27394095,0.09532157,0.20006277,0.16963892,0.1349722,0.08119362,0.16315258,0.247086
0.07174074,0.47871038,0.0953119,0.30550462,0.1463313,0.19529444,0.13683039,0.12285954,0.10214986,0.0941167,0.2511498
0.09890871,0.25944513,0.17476426,0.26737463,0.10636848,0.20411444,0.15857929,0.12937582,0.17758411,0.10479612,0.31868866
0.08264814,0.20652251,0.25213674,0.3414567,0.12266478,0.18232155,0.22467461,0.27631655,0.06567802,0.05252834,0.19305168
0.11049188,0.52536875,0.15130244,0.3286608,0.13376456,0.18011531,0.1932237,0.1742763,0.04703286,0.02410456,0.13165858
0.13174582,0.37598956,0.08274975,0.34812772,0.17802274,0.27538854,0.23357305,0.15510015,0.08171489,0.028189,0.10939875
0.13646246,0.21348834,0.14596176,0.30307183,0.2045811,0.30857936,0.25632337,0.16023366,0.07407317,0.04367014,0.15355477
0.23081492,0.10334778,0.11572725,0.24512735,0.27217507,0.28151414,0.27468464,0.14070627,0.14053568,0.09919012,0.09617651
0.18926631,0.0943075,0.09247569,0.24937688,0.25418386,0.28742987,0.2893032,0.19335885,0.09733196,0.13027835,0.12268715
0.18094024,0.07872794,0.04577399,0.28637108,0.29696885,0.32825217,0.22831753,0.16499197,0.13202265,0.13331927,0.12431417
0.13643982,0.06571399,0.03066085,0.2742986,0.21224795,0.36921054,0.2280983,0.15027057,0.25786066,0.10938683,0.1658117
0.0881036,0.12006144,0.01875476,0.28441924,0.15204889,0.22834818,0.19874685,0.17376919,0.4623965,0.09769903,0.17565192
0.09595939,0.23348185,0.02710761,0.24725027,0.07078085,0.13791716,0.2093796,0.14635353,0.5901187,0.11094052,0.1307104
0.1742244,0.16346964,0.05440464,0.30295435,0.09994185,0.1550879,0.33925912,0.2097807,0.25459784,0.09940346,0.14687574
0.17020735,0.13036865,0.10374366,0.28311905,0.14109716,0.15832965,0.43176264,0.16051224,0.22741358,0.09614579,0.0972999
0.25206184,0.07985761,0.09851773,0.3250892,0.21770242,0.14341576,0.2966968,0.15677527,0.17905802,0.19444199,0.05638309
0.37346917,0.07099589,0.01946867,0.27517098,0.33596924,0.16043602,0.1896046,0.14714353,0.1573047,0.2029564,0.06748064
0.29507163,0.07425231,0.01845595,0.28497714,0.2177457,0.2689488,0.2340334,0.12680517,0.12340976,0.22026871,0.13603118
0.2901334,0.07024054,0.01020517,0.28794584,0.2842754,0.2717163,0.22352648,0.01794503,0.08461064,0.27486992,0.1845312
0.2155605,0.10178474,0.02943777,0.26260433,0.35381922,0.27748716,0.19473526,0.01247192,0.14877994,0.28825164,0.11506739
0.16972013,0.08242646,0.02281125,0.2762322,0.26904392,0.37800273,0.18669643,0.03058543,0.30010468,0.11154915,0.17282741
0.12650883,0.11060425,0.06163291,0.28775588,0.23324168,0.3438329,0.2383815,0.02361521,0.15404518,0.11615837,0.30422306
0.1415283,0.09632338,0.09494078,0.28794613,0.22190906,0.19771062,0.24933828,0.0126748,0.1707105,0.09112482,0.43579316
0.17285082,0.01539332,0.10121451,0.26750627,0.2595986,0.20281984,0.19821525,0.02359275,0.08749801,0.04739071,0.62391937
0.19253874,0.00476656,0.06825436,0.21717687,0.17776991,0.16832393,0.160497,0.04007373,0.13340178,0.10169793,0.7354991
0.13954836,0.02517762,0.04062917,0.25917467,0.19128647,0.10507777,0.14630905,0.05077741,0.10767431,0.06724399,0.86710083
0.2185747,0.01551914,0.01344454,0.26605907,0.20379156,0.12006732,0.11398619,0.2349791,0.074683,0.17439198,0.56450325
0.10745535,0.04057162,0.00177172,0.27242666,0.28143278,0.12287854,0.13953419,0.4468434,0.07211267,0.10671964,0.4082532
0.1106874,0.03899198,0.02113368,0.3090068,0.25405023,0.2293061,0.21306843,0.25266525,0.17819317,0.14694832,0.24594855
