ETH,LTC,XRP,reversed_USDT,ETC,DASH,XMR,XEM,FCT,GNT,ZEC
0.26747113,0.06663396,0.25589147,0.24379827,0.12914386,0.14156923,0.3093088,0.1273606,0.09897989,0.18573818,0.17410454
0.34955728,0.08951725,0.1238163,0.24547935,0.1323974,0.1166212,0.28192595,0.18802252,0.10178675,0.1242459,0.2466301
0.41731453,0.04773066,0.05992706,0.2619849,0.17149894,0.20208593,0.3043057,0.20882559,0.05509485,0.11969267,0.15153907
0.36787903,0.0966813,0.07247064,0.26943985,0.15247399,0.28361198,0.2660378,0.10737383,0.09836615,0.18076919,0.10489612
0.29410827,0.11039814,0.03229209,0.23880477,0.19387972,0.38718984,0.28370023,0.10926066,0.09519311,0.13703156,0.11814164
0.19698013,0.29912052,0.05779216,0.25291592,0.17665471,0.2501592,0.25076494,0.14063902,0.09809987,0.14893591,0.12793757
0.14455548,0.37238407,0.02101673,0.28740835,0.1315751,0.17135377,0.24585871,0.14272429,0.10198722,0.19817649,0.18295985
0.03783116,0.90878373,0.014063,0.2018009,0.06663044,0.16811962,0.15939608,0.10087789,0.05128454,0.10730737,0.18390518
0.03424537,1.1111156,0.05190041,0.18858571,0.07215505,0.11912024,0.09468587,0.07003973,0.05380836,0.04636218,0.15798153
0.04465612,0.9582124,0.09985973,0.17283133,0.0510092,0.11921092,0.11262663,0.07056792,0.10119577,0.05666162,0.21316841
0.04554837,0.70251054,0.188957,0.27486476,0.07727613,0.12187934,0.19489715,0.18129444,0.04367346,0.0316208,0.1374782
0.04698556,1.1646845,0.09516577,0.21139641,0.07438709,0.09526855,0.12543039,0.08363055,0.022677,0.01137079,0.0690034
0.06864296,0.9191196,0.06919347,0.24783768,0.128792,0.18794964,0.16492301,0.09088444,0.04125982,0.01496711,0.06643011
0.08364309,0.54689234,0.12564796,0.2678407,0.18333139,0.2647455,0.23677288,0.11110156,0.04215186,0.02206948,0.11580311
0.16878603,0.23463766,0.1052857,0.25878367,0.28874472,0.27982682,0.329938,0.10683524,0.09280661,0.05611789,0.0782378
0.13753137,0.14539124,0.08497921,0.27314365,0.26037613,0.2878969,0.41353068,0.15796225,0.06245214,0.07794593,0.09879031
0.13762353,0.09328856,0.04253988,0.32472464,0.30792552,0.32989496,0.34251344,0.13853055,0.08838517,0.09339681,0.1011769
0.11020517,0.05440526,0.02519053,0.31037772,0.21457124,0.41223752,0.31755394,0.1295452,0.20583147,0.08067213,0.13940968
0.07692624,0.09478237,0.0150165,0.3370173,0.15050283,0.25994048,0.25847703,0.14724377,0.43271074,0.0784755,0.14890727
