date;40Drawdown
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.003794041
04/05/2017;0
04/05/2017;0
04/05/2017;0.000833938
04/05/2017;0
04/05/2017;0.006304754
04/05/2017;0
04/05/2017;0.009036052
04/05/2017;0.025645522
04/05/2017;0.03578228
04/05/2017;0.01676245
04/05/2017;0.018491865
04/05/2017;5.31697E-05
04/05/2017;0
04/05/2017;0
04/05/2017;0.013924984
04/05/2017;0.006788533
04/05/2017;0.010190602
04/05/2017;0.007426536
04/05/2017;0.006654506
04/05/2017;0.020081022
04/05/2017;0.000923498
04/05/2017;0.004071284
04/05/2017;0.00967561
04/05/2017;0
04/05/2017;0.006799578
04/05/2017;0.007501907
04/05/2017;0.012851898
04/05/2017;0.025569015
04/05/2017;0.010617463
04/05/2017;0.003647346
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.003883723
04/05/2017;0.001907201
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0
04/05/2017;0.003878217
04/05/2017;0
05/05/2017;0.010747008
05/05/2017;0.014539625
05/05/2017;0.006797102
05/05/2017;0.00220542
05/05/2017;0
05/05/2017;0.010461357
05/05/2017;0.007644613
05/05/2017;0.004823695
05/05/2017;0.008517019
05/05/2017;0.003707516
05/05/2017;0.007074418
05/05/2017;0.011344615
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0.000599591
05/05/2017;0.007290466
05/05/2017;0.003556897
05/05/2017;0.002713404
05/05/2017;0
05/05/2017;0
05/05/2017;0.002897088
05/05/2017;0
05/05/2017;0.000746984
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0
05/05/2017;0.009296716
05/05/2017;0.047649763
05/05/2017;0.05965547
05/05/2017;0.058383206
05/05/2017;0.065606707
05/05/2017;0.078635494
05/05/2017;0.056926545
05/05/2017;0.069314572
05/05/2017;0.062664907
05/05/2017;0.04575525
05/05/2017;0.041744092
05/05/2017;0.03753501
05/05/2017;0.022373204
05/05/2017;0.023572137
05/05/2017;0.010549046
05/05/2017;0.018198297
05/05/2017;0.01253113
05/05/2017;0.018325737
06/05/2017;0.023066649
06/05/2017;0.013331368
06/05/2017;0.010712796
06/05/2017;0
06/05/2017;0
06/05/2017;0.005950352
06/05/2017;0.005495679
06/05/2017;0.003592132
06/05/2017;0.014275188
06/05/2017;0.006666657
06/05/2017;0
06/05/2017;0.026992066
06/05/2017;0.039833556
06/05/2017;0.030501805
06/05/2017;0.042415701
06/05/2017;0.030718691
06/05/2017;0.020099753
06/05/2017;0.01052639
06/05/2017;0.007078114
06/05/2017;0.012647917
06/05/2017;0.026224134
06/05/2017;0.027438555
06/05/2017;0.029426559
