date;0.1MDD;0.4MDD;0.5MDD;datealt;CRIX
05/05/2017;1.17808;1.351861;1.389229;;
05/05/2017;1.196938;1.373157;1.432261;;
05/05/2017;1.193622;1.371473;1.428921;;
05/05/2017;1.20338;1.389765;1.452317;;
05/05/2017;1.199155;1.379021;1.444133;;
05/05/2017;1.203108;1.386981;1.450679;;
05/05/2017;1.200635;1.378842;1.441802;;
06/05/2017;1.196718;1.372183;1.434395;;
06/05/2017;1.204606;1.385857;1.448172;;
06/05/2017;1.206805;1.389535;1.450156;;
06/05/2017;1.211669;1.405438;1.467063;;
06/05/2017;1.217798;1.414202;1.47632;;
06/05/2017;1.214576;1.405787;1.465089;;
06/05/2017;1.213393;1.40643;1.460782;;
06/05/2017;1.21691;1.409122;1.466936;;
06/05/2017;1.212361;1.394014;1.458248;;
06/05/2017;1.219701;1.404774;1.468992;;
06/05/2017;1.223249;1.41549;1.478653;;
06/05/2017;1.204357;1.377283;1.439289;;
06/05/2017;1.198012;1.359106;1.420958;;
06/05/2017;1.205035;1.372315;1.437589;;
06/05/2017;1.196159;1.355451;1.414466;;
06/05/2017;1.202785;1.372008;1.443096;;
06/05/2017;1.208492;1.387039;1.459232;;
06/05/2017;1.214692;1.40059;1.474759;;
06/05/2017;1.216772;1.405471;1.478834;;
06/05/2017;1.212383;1.397587;1.470974;;
06/05/2017;1.202373;1.37837;1.45048;;
06/05/2017;1.202092;1.376651;1.448842;;
06/05/2017;1.201085;1.373837;1.446737;;
06/05/2017;1.202939;1.377354;1.450558;;
06/05/2017;1.204451;1.37969;1.453791;;
06/05/2017;1.20848;1.383501;1.459799;;
06/05/2017;1.195241;1.363997;1.436169;;
06/05/2017;1.197203;1.367936;1.440343;;
06/05/2017;1.190498;1.357642;1.42504;;
06/05/2017;1.207512;1.386604;1.461086;;
06/05/2017;1.200559;1.375737;1.447928;;
06/05/2017;1.210328;1.39377;1.469836;;
06/05/2017;1.217796;1.405074;1.481991;;
06/05/2017;1.220938;1.411378;1.487721;;
06/05/2017;1.214893;1.399908;1.476841;;
06/05/2017;1.203191;1.379584;1.452806;;
06/05/2017;1.211654;1.393411;1.466349;;
06/05/2017;1.211371;1.392998;1.465545;;
06/05/2017;1.210368;1.39053;1.462049;;
06/05/2017;1.212763;1.397617;1.470333;;
06/05/2017;1.199123;1.37345;1.443522;;
06/05/2017;1.203051;1.383163;1.453283;;
06/05/2017;1.21466;1.402644;1.476428;;
06/05/2017;1.218257;1.407119;1.480397;;
06/05/2017;1.22035;1.4074;1.480317;;
06/05/2017;1.220969;1.403214;1.473393;;
06/05/2017;1.225631;1.426849;1.505708;;
06/05/2017;1.227217;1.429526;1.510846;;
07/05/2017;1.224781;1.424828;1.506173;;
07/05/2017;1.226393;1.428734;1.510198;;
07/05/2017;1.218623;1.411597;1.488872;;
07/05/2017;1.218479;1.413376;1.492874;;
07/05/2017;1.221696;1.419869;1.499691;;
07/05/2017;1.225025;1.433951;1.522627;;
07/05/2017;1.225923;1.435655;1.522778;;
07/05/2017;1.222337;1.429384;1.515036;;
07/05/2017;1.224614;1.433035;1.520418;;
07/05/2017;1.225887;1.433155;1.522803;;
07/05/2017;1.226979;1.43455;1.525373;;
07/05/2017;1.227567;1.439786;1.528605;;
07/05/2017;1.2284;1.444695;1.533839;;
07/05/2017;1.23034;1.449517;1.535147;;
07/05/2017;1.231066;1.451753;1.539235;;
07/05/2017;1.22981;1.449418;1.53778;;
07/05/2017;1.23008;1.456369;1.540636;;
07/05/2017;1.242938;1.484075;1.567152;;
07/05/2017;1.242034;1.48224;1.564094;;
07/05/2017;1.234326;1.470792;1.548138;;
07/05/2017;1.25855;1.504849;1.595697;;
07/05/2017;1.266745;1.52029;1.609697;;
07/05/2017;1.269339;1.524637;1.612268;;
07/05/2017;1.283235;1.553171;1.642677;;
07/05/2017;1.289407;1.566313;1.655918;;
07/05/2017;1.2897;1.565517;1.660544;;
07/05/2017;1.30014;1.579773;1.669368;;
07/05/2017;1.298301;1.575274;1.657965;;
07/05/2017;1.299044;1.565091;1.647699;;
07/05/2017;1.30821;1.591756;1.689738;;
07/05/2017;1.311749;1.600727;1.700389;;
07/05/2017;1.317463;1.621425;1.726558;;
07/05/2017;1.309699;1.606709;1.71299;;
07/05/2017;1.301282;1.589155;1.69232;;
07/05/2017;1.308333;1.601891;1.705959;;
07/05/2017;1.308123;1.602185;1.707449;;
07/05/2017;1.313209;1.633994;1.733071;;
07/05/2017;1.304922;1.622994;1.719635;;
07/05/2017;1.304111;1.621858;1.71794;;
07/05/2017;1.303481;1.624593;1.719253;;
07/05/2017;1.302227;1.621226;1.716067;;
07/05/2017;1.291846;1.59518;1.689317;;
07/05/2017;1.287758;1.567559;1.662476;;
07/05/2017;1.262178;1.489156;1.56967;;
07/05/2017;1.326216;1.64474;1.763915;;
07/05/2017;1.353373;1.744446;1.899403;;
07/05/2017;1.342057;1.706177;1.854775;;
07/05/2017;1.327277;1.674357;1.824295;;
08/05/2017;1.307963;1.617388;1.76057;;
08/05/2017;1.315508;1.650243;1.790998;;
08/05/2017;1.357543;1.7438;1.888548;;
08/05/2017;1.362444;1.755336;1.903303;;
08/05/2017;1.345293;1.720343;1.864733;;
08/05/2017;1.331797;1.696858;1.841012;;
08/05/2017;1.354746;1.73609;1.880736;;
08/05/2017;1.348808;1.727453;1.876816;;
08/05/2017;1.326329;1.6864;1.835478;;
08/05/2017;1.280241;1.60489;1.748003;;
08/05/2017;1.298916;1.640963;1.787436;;
08/05/2017;1.31924;1.713082;1.848515;;
08/05/2017;1.370337;1.738866;1.890893;;
08/05/2017;1.372508;1.750595;1.902968;;
08/05/2017;1.353458;1.718776;1.871429;;
08/05/2017;1.355206;1.729183;1.883459;;
08/05/2017;1.365931;1.759305;1.911771;;
08/05/2017;1.35543;1.742083;1.893688;;
08/05/2017;1.363949;1.757306;1.917529;;
08/05/2017;1.376399;1.779182;1.940366;;
08/05/2017;1.370963;1.76836;1.930683;;
08/05/2017;1.367551;1.767316;1.929523;;
08/05/2017;1.355744;1.748447;1.912148;;
08/05/2017;1.363242;1.771546;1.945213;;
08/05/2017;1.341086;1.738574;1.904762;;
08/05/2017;1.349131;1.752832;1.91962;;
08/05/2017;1.373227;1.793852;1.95626;;
08/05/2017;1.389412;1.827969;1.999581;;
08/05/2017;1.385289;1.803917;2.055762;;
08/05/2017;1.40234;1.900957;2.102317;;
08/05/2017;1.445435;1.931692;2.183233;;
08/05/2017;1.446959;1.937809;2.188636;;
08/05/2017;1.466037;1.987808;2.246409;;
08/05/2017;1.467601;1.987602;2.245666;;
08/05/2017;1.480752;2.001638;2.207876;;
08/05/2017;1.373866;1.811699;1.917602;;
08/05/2017;1.433805;1.945823;2.068006;;
08/05/2017;1.436358;1.874681;1.984673;;
08/05/2017;1.334581;1.260292;1.287269;;
08/05/2017;1.49106;1.525218;1.557793;;
08/05/2017;1.570356;1.622399;1.745324;;
08/05/2017;1.60588;1.672112;1.798095;;
08/05/2017;1.630644;1.709062;1.837992;;
08/05/2017;1.610955;1.675986;1.800427;;
08/05/2017;1.60118;1.658171;1.777036;;
08/05/2017;1.584554;1.628935;1.748596;;
08/05/2017;1.60415;1.661039;1.779242;;
08/05/2017;1.599187;1.65172;1.76912;;
09/05/2017;1.591394;1.636182;1.75076;;
09/05/2017;1.585895;1.622601;1.739942;;
09/05/2017;1.512042;1.542563;1.660407;;
09/05/2017;1.582052;1.668253;1.796114;;
09/05/2017;1.579498;1.658881;1.790119;;
09/05/2017;1.57804;1.657002;1.793948;;
09/05/2017;1.67442;1.912843;2.169984;;
09/05/2017;1.676678;1.914495;2.181037;;
09/05/2017;1.645029;1.859064;2.118757;;
09/05/2017;1.642556;1.873523;2.135054;;
09/05/2017;1.623309;1.829879;2.083056;;
09/05/2017;1.584149;1.740601;1.981858;;
09/05/2017;1.520148;1.618065;1.854237;;
09/05/2017;1.429037;1.419631;1.595342;;
09/05/2017;1.73956;1.972005;2.242609;;
09/05/2017;1.717266;1.917461;2.215209;;
09/05/2017;1.855802;1.969652;2.319216;;
09/05/2017;1.781062;1.828023;2.152223;;
09/05/2017;1.901221;2.023727;2.401775;;
09/05/2017;1.987684;2.146442;2.5402;;
09/05/2017;2.030462;2.218688;2.60257;;
09/05/2017;2.012169;2.178529;2.559416;;
09/05/2017;2.056972;2.231094;2.586884;;
09/05/2017;2.113623;2.274042;2.630608;;
09/05/2017;2.177927;2.35966;2.730373;;
09/05/2017;2.146705;2.287696;2.645214;;
09/05/2017;2.144098;2.296914;2.657734;;
09/05/2017;2.147983;2.297804;2.658677;;
09/05/2017;2.155796;2.303316;2.653314;;
09/05/2017;2.169509;2.326318;2.681802;;
09/05/2017;2.165183;2.313634;2.666063;;
09/05/2017;2.168678;2.321798;2.67542;;
09/05/2017;2.158688;2.308277;2.661726;;
09/05/2017;2.114473;2.250726;2.583492;;
09/05/2017;2.101314;2.242877;2.556826;;
09/05/2017;2.086205;2.210304;2.574812;;
09/05/2017;2.101103;2.244188;2.670985;;
09/05/2017;2.152369;2.346869;2.822628;;
09/05/2017;2.16394;2.357306;2.831723;;
09/05/2017;2.26772;2.534847;3.028487;;
09/05/2017;2.263824;2.541125;3.049015;;
09/05/2017;2.278205;2.559816;3.059688;;
09/05/2017;2.230569;2.475255;2.938823;;
09/05/2017;2.244977;2.536534;3.09497;;
09/05/2017;2.220158;2.507134;3.033572;;
09/05/2017;2.232397;2.50181;3.022564;;
09/05/2017;2.21792;2.465962;2.982463;;
09/05/2017;2.238929;2.494071;3.031976;;
10/05/2017;2.213374;2.459687;2.98655;;
10/05/2017;2.302648;2.586744;3.187202;;
10/05/2017;2.337674;2.675413;3.299628;;
10/05/2017;2.34202;2.708112;3.342351;;
10/05/2017;2.366209;2.758848;3.414552;;
10/05/2017;2.40849;2.845702;3.522539;;
10/05/2017;2.432846;2.890162;3.577866;;
10/05/2017;2.413813;2.848869;3.529655;;
